location1,location2,location3,rssi1,rssi2,rssi3,rssi4,rssi5
1,4,d0,200.2,180.4,184.0,181.6,190.0
1,4,d0,191.8,182.2,180.4,185.8,190.0
1,4,d0,196.6,189.4,176.8,184.0,192.25
1,4,d0,196.0,195.4,186.4,194.8,188.2
1,3,d2,195.8,193.25,187.0,190.6,186.4
1,3,d2,204.4,187.0,175.0,194.2,191.8
1,3,d2,197.6,185.5,184.0,199.0,195.2
1,3,d2,198.4,197.0,197.0,201.4,199.0
1,3,d2,199.2,183.0,188.5,195.4,190.2
1,3,d2,199.0,187.0,184.0,196.6,199.0
1,3,d2,194.0,188.0,182.0,196.2,194.0
1,3,d2,205.6,199.0,193.0,201.4,195.4
1,3,d2,202.0,193.0,187.0,192.4,190.0







